,total_sqft
0,1056
1,2600
3,1521
5,1170
11,2785
12,1000
14,2250
15,1175
16,1180
17,1540
18,2770
21,1755
22,2800
24,510
26,660
28,1151
29,1025
30,2475
31,1075
32,1760
33,1693
35,700
37,1724
41,1254
42,600
44,1330.74
46,970
47,1459
50,1270
51,1670
52,2010
53,1185
54,1600
55,1200
57,1500
61,845
62,5700
63,1160
66,1140
71,1358
72,1569
73,1240
74,2089
77,2511
80,1660
82,1326
84,1499
87,708
88,1060
90,1000
94,1296
96,2894
100,2502
101,650
102,2400
103,1007
104,1200
107,1640
109,1260
111,1413
112,1116
113,1530
115,2497
116,1540
120,1427
121,2061
122,5611
124,1282
126,1600
128,1500
130,1870
131,1600
132,880
134,1535
135,950
136,1360
137,1073
139,1260
141,3050
142,1563.05
144,1167
147,890
148,1612
150,1710
151,957
154,1125
155,1020
157,1735
158,2050
161,1063
162,1904
164,2000
165,1242
166,1425
167,1500
168,1060
169,1470
171,450
172,1152
173,1350
174,1550
178,705
179,770
180,1242
181,1700
182,2144
183,1704
184,1070
187,1025
188,1277
189,1200
191,1550
194,1200
195,1327
198,1400
202,1225
204,1260
205,1282
206,1909
207,1359
211,1595
213,1475
214,1580
215,1295
217,589
219,1787
220,1787
221,1475
223,984
225,2405
226,1080
230,1153
231,1148
232,1110
233,1100
234,1290
237,1933
240,645
242,645
243,1644
244,1285
246,910
247,1577
248,4050
249,2420
250,800
252,1270
257,1108
259,3045
260,2900
261,1500
262,1295
263,1162
264,1035
265,1600
267,1866
268,700
269,1804
271,1868
275,2026
276,1210
277,4111
278,1762
279,1252
280,861
281,1420
283,1490
285,1425
286,1200
288,1084
289,1015
290,1017
292,1069
293,1349
294,1005
295,1417
297,950
298,2000
300,1863
301,1010
302,1425
303,1450
304,1847
305,1100
306,525
307,1665
308,1664
309,1850
310,1438
311,1560
313,1550
317,1280
319,1113
320,1385
321,1128
324,2390
326,1464
328,1200
329,1150
330,1645
333,1192
334,2135
335,1173
336,1020
337,3122
341,1250
342,1325
343,1850
347,1260
348,1800
349,11
350,1100
351,1508
352,1592
353,1388
354,630
358,3252
359,1116
360,1308
364,1075
365,530
367,1075
368,930
369,1380
370,2483
371,1166
372,1050
373,2023.71
374,1200
375,1600
376,1935
377,451
378,1800
379,1400
380,1801
383,1160
385,950
388,1826
389,1245
390,1145
391,825
392,1693
393,1113.27
394,1460
395,1050
396,1260
398,1656
399,1208
400,1910
401,3252
404,1175
407,2390
412,750
414,1550
415,1760
416,1125
421,1991
422,1060
423,1105
424,985
426,1590
427,1120
428,1069
429,1933
430,1194
431,1150
433,1419
436,1450
437,1630
438,708
441,1250
442,1400
444,1750
445,1404
446,1715
447,630
448,1752.12
450,1295
451,1800
452,1346
454,1150
455,3309
456,1190
457,1620
459,5000
460,2450
461,1220
462,850
465,1150
466,1760
471,900
473,1130
474,1320
476,1200
479,929
480,1150
483,1200
488,1130
489,1753
490,4500
492,1196
493,1150
494,1128
495,1000
496,1035
498,1075
499,1040
501,1511
503,1545
507,1000
508,883
509,1195
512,1246
516,2805
521,1353
522,1599
523,1150
524,5230
525,1155
529,1867
530,1251
531,1028
532,1222
533,1170
534,2400
536,1372
537,1282
538,5000
540,1135
542,1325
543,1599
549,1317
550,3450
551,1102
552,1350
557,525
558,656
560,1056
561,595
563,2225
564,1126
565,1490
567,1550
570,4144
571,2100
572,1404
573,2230
575,1305
576,1230
582,715
583,2500
584,1578
586,1020
587,1253
588,1180
589,961
591,1709
596,1260
597,1630
598,1249
599,1450
600,2791
602,834
606,891
607,1133
608,1075
616,1090
620,1920
621,1374
623,711
624,1500
625,1720
628,1200
629,1375
631,2250
632,1000
633,469
634,3800
635,883
636,1820
639,2500
643,750
649,2378
650,1128
651,1500
654,1100
655,1200
657,1641
659,1260
661,1132
662,1210
664,1075
665,1702
666,1630
667,1141
672,4046
674,35000
683,1875
685,1200
686,1140
687,1683
689,2118
693,2300
694,1240
695,1750
698,985
699,1500
701,950
705,1090
708,810
709,1045
710,1337
712,1580
713,1500
714,1640
715,1570
716,1470
718,1050
719,1855
720,1460
722,1094
723,1153
724,1325
726,1590
729,1202
731,1200
732,1688
733,1020
734,1185
735,1235
736,3205
738,1415
739,2330
740,805
742,1155
745,1100
748,1468
749,4300
750,2280
751,1341
753,2225
754,1185
755,1750
756,1152
758,1300
761,1101
763,667
764,1070
765,1875
766,735
769,1215
771,820
772,1177
773,1779
774,1105
776,1650
777,1694
778,2376
780,674
781,1185
782,445
785,1618
786,1120
787,2181
790,1556
791,1179
792,1296
793,1275
796,1222
797,940
798,1185
799,1779
800,1615
802,1056
804,920
805,1602
809,1717
811,2119
812,1246
813,1141
815,1025
816,650
817,1349
818,1566
819,2830
822,1091
823,3670
825,1950
827,1705
828,1375
829,525
831,1114
832,1450
835,1000
836,1128
837,1180
841,1339
843,1040
846,1691
847,1075
850,1122
851,1665
853,1142
854,1976
862,1175
863,1200
864,995
865,884
867,1170
868,1225
869,1342
871,1320
873,1140
874,1300
876,2072
878,1360
879,1145
880,1540
881,1278
882,630
883,1100
884,1200
886,[]
887,1015
894,1180
895,1116
896,1070
897,1385
900,1005
901,1575
902,975
903,1904
905,525
907,2400
910,1174
912,2225
913,1250
914,918
917,1170
920,1710
921,1082
926,1554
927,1142
930,1045
932,1935
934,1680
935,2470
936,2825
937,2480
940,1799
942,400
943,1047
944,1282
947,1495
948,3260
950,3500
952,1500
954,1540
955,1639
957,1303
958,1005
959,[]
960,1305
963,1440
965,1725
969,1535
971,1464
972,1350
978,650
980,950
984,1190
987,1891
989,1161
990,[]
993,665
995,1425
998,1255
999,2112.95
1001,1810
1006,1400
1007,1485
1009,1025
1013,2268
1014,1100
1015,1141
1016,400
1023,1843
1026,1530
1029,1246
1030,711
1031,1194
1032,1358
1034,1420
1037,1209
1040,1315
1043,1600
1045,1563
1046,1560
1050,3235
1052,1140
1055,1100
1057,1036
1058,1662
1059,1464
1060,1234
1061,1403
1065,3900
1071,1405
1073,2805
1074,1161
1075,1290
1076,2557
1077,1480
1079,1350
1080,1580
1083,1346
1088,1200
1089,1340
1091,918
1092,1500
1093,1315
1096,1330
1098,1824
1099,1420
1101,1260
1102,1561
1106,1225
1107,2144
1109,880
1110,1639
1111,1240
1113,1243
1116,1082
1118,1665
1119,1265
1120,1691
1121,1100
1124,3205
1126,1115
1127,1070
1128,1128
1129,1162
1130,1339
1131,1192
1132,1920
1133,1255
1134,1357
1136,1225
1137,2400
1139,1093
1140,1865
1142,1039
1143,1246
1144,1985
1145,1590
1146,4000
1147,775
1148,1000
1149,1800
1150,1035
1151,1520
1152,1360
1153,6000
1154,1117
1155,1200
1156,1330
1157,1937
1158,1128
1159,1053
1160,1198
1161,1152
1163,1625
1164,1397
1165,1523
1166,883
1167,700
1168,1170
1169,1200
1172,1897
1174,1875
1176,3095
1177,1390
1178,1450
1179,697
1180,710
1181,910
1182,1025
1183,1000
1186,3335
1187,[]
1190,1024
1191,1620
1192,1254
1193,1300
1196,1510
1197,950
1198,1945
1199,1008
1200,1265
1201,1255
1202,2689
1204,1403
1205,1535
1207,1475
1210,1133
1215,1697
1217,1560
1218,1192
1221,1349
1223,1680
1226,820
1227,5000
1229,856
1230,1621
1232,1484
1234,14000
1235,500
1239,550
1240,1384
1242,1150
1244,2150
1247,1508
1248,1040
1249,1240
1250,1535
1251,1180
1253,1400
1255,4800
1256,1984
1257,3000
1258,1960
1259,1035
1261,1700
1262,3024
1263,1586
1265,2325
1266,1120
1268,1128
1270,924
1271,1600
1273,1200
1276,957
1277,1140
1278,1050
1280,1190
1282,1558.67
1284,1403
1285,1542
1286,2750
1287,3596
1291,1596
1292,1009
1293,1726
1294,1535
1296,3100
1298,665
1301,925
1303,1395
1304,1415
1305,1419
1306,1121
1308,1100
1309,1606
1311,4634
1312,1206
1313,1495
1315,710
1317,1523
1318,1232
1319,680
1320,1355
1321,1430
1323,1070
1327,1610
1328,1140
1329,1143
1330,3467.86
1331,1530
1332,980
1333,1485
1334,1500
1335,1280
1336,1265
1338,1262
1339,940
1341,1300
1343,890
1345,2060
1346,1730
1347,2195
1351,1085
1358,1639
1360,1739
1362,935
1363,510
1365,1178
1366,1375
1367,1065
1373,1835
1374,2090
1375,1519
1376,1267
1377,1150
1378,1146
1380,1550
1381,850
1386,1610
1387,921
1390,1700
1391,1020
1392,1090
1395,1185
1396,850
1397,1197
1398,3500
1401,1105
1402,1850
1403,1300
1405,3073
1410,900
1414,1654
1417,1367
1418,1010
1420,1535
1424,1330
1425,2500
1427,1410
1429,1614
1430,1363
1436,930
1441,1890
1442,2197
1443,3522
1445,1440
1447,764
1449,1693
1450,1445
1451,900
1453,1381
1454,1100
1457,1200
1458,1080
1461,1865
1462,1157
1463,674
1464,1405
1465,1160
1467,1790
1468,1128
1469,1180
1474,1125
1475,1246
1476,1372
1477,1330
1478,2465
1482,1065
1484,687.32
1485,1050
1487,865
1489,1756
1491,628
1494,1765
1496,1532
1497,1650
1499,[]
1502,1200
1503,1385
1504,1010
1505,2225
1506,1180
1510,400
1511,1200
1512,1272
1513,1205
1514,980
1517,1610
1518,1694
1520,950
1521,1560
1526,910
1528,1291
1530,1012
1532,1282
1533,1843
1535,3356
1536,2790
1537,1330
1538,1400
1541,1297
1542,[]
1543,1490
1544,1373
1549,1750
1550,1052
1555,1128
1557,1120
1560,1090
1563,1330
1564,1427
1566,1580
1568,1808
1569,3516
1570,1194
1571,900
1573,900
1579,1390
1581,845
1582,1537
1584,1512
1586,1230
1587,1378
1588,1277
1589,1985
1591,1210
1595,3198
1597,2483
1599,4111
1600,975
1602,1690
1603,1063
1606,1600
1608,520
1610,1390
1611,1185
1612,1219
1613,1564
1614,3430
1615,1100
1616,1300
1619,1482
1620,1000
1626,1469
1629,1205
1631,1745
1632,1028
1633,1700
1634,1200
1635,2700
1636,1100
1638,1269.72
1639,1266
1640,1060
1641,1168
1642,1552
1643,2038
1644,500
1647,1300
1648,920
1650,1310
1652,1515
1653,1157
1655,3000
1658,1530
1659,2070
1660,1815
1661,3900
1662,1000
1664,1232
1665,1282
1666,654
1668,1075
1670,1616
1673,1306
1674,1626
1676,1585
1679,1495
1683,3715
1690,1645
1691,1760
1692,595
1693,1200
1694,4624
1695,1410
1698,1300
1699,1890
1700,1254
1704,1170
1705,1193
1707,1678
1708,1600
1709,1750
1712,1500
1713,2800
1715,1000
1717,1320
1719,2422
1720,1100
1721,882
1722,845
1723,883
1725,1595
1726,1280
1728,920
1729,1300
1730,1450
1731,1757
1736,1330
1737,1062
1738,1078
1739,1460
1743,142.61
1745,2028
1746,980
1747,1000
1748,1050
1750,1875
1755,1725
1757,1128
1759,1705
1762,1100
1764,812
1767,1420
1774,2800
1776,1650
1777,840
1778,914
1779,1482
1780,1724
1781,1670
1785,927
1787,1220
1788,1360
1790,1180
1791,1697
1793,1225
1794,1690
1797,1250
1798,1050
1800,1699
1801,1205
1805,1476
1807,2160
1808,1296
1810,1570
1811,1300
1813,770
1816,1429
1818,1035
1821,1574
1822,884
1824,1026
1828,2690
1829,975
1834,1700
1835,3606
1836,1258
1838,3630
1839,2000
1840,2790
1841,1494
1842,1482
1843,800
1845,1100
1847,1225
1850,1180
1851,1260
1853,1190
1854,1691
1862,1250
1865,800
1866,1020
1872,1510
1874,1614
1878,1632
1881,3012
1883,1450
1884,1200
1886,1508
1888,1188
1889,2690
1890,1174
1891,1350
1892,1870
1893,1072
1895,726
1896,1345
1897,1200
1899,1050
1902,1743
1906,950
1907,640
1908,972
1909,1840
1910,1128
1912,2400
1916,1150
1917,3450
1919,920
1921,1564
1922,1045
1925,2479.13
1926,1846
1930,3042
1931,1640
1932,1068
1933,1135
1938,1150
1943,1354
1946,1320
1948,3500
1949,1000
1950,1130
1952,2204
1956,1745
1960,1550
1962,1329
1963,916
1964,688
1965,1358
1966,1331
1967,686
1968,1050
1969,2106
1970,1718
1971,1530
1973,1075
1975,1936
1976,2172.65
1981,1117
1982,1685
1983,740
1986,1800
1987,1700
1988,850
1989,1891
1990,1400
1993,896
1994,1180
1996,850
1999,1699
2000,2025
2002,500
2004,2475
2005,1455
2008,1521
2010,3155
2012,1765
2013,1980
2015,1265
2016,1034
2018,1070
2022,2045
2023,1490
2026,671
2027,1156
2028,2017
2029,3122
2030,1635
2032,1296
2034,1139
2037,1245
2039,3951
2040,550
2041,360
2043,1670
2046,1050
2048,1210
2050,1140
2051,1343
2053,925
2054,1420
2055,1415
2056,1210
2057,1852
2058,1250
2059,1100
2061,1100
2062,1350
2063,1546
2064,1424
2065,1398
2066,1650
2068,1476
2070,1322
2074,1285
2075,1150
2076,1430
2079,1185
2080,1760
2083,1297
2084,1840
2087,950
2088,1277
2089,1571
2090,1031
2091,1485
2092,1109
2094,950
2096,1161
2098,1003
2101,1255
2106,1875
2109,1330
2113,2519
2115,1450
2116,1837
2118,1238
2119,1405
2122,1673
2124,1112
2126,545
2127,985
2128,[]
2130,1430
2131,1050
2134,1533
2137,1750
2139,1352
2140,1754
2141,1560
2142,3012
2144,1470
2145,1035
2148,1100
2150,595
2151,1650
2155,1235
2157,1400
2160,1375
2163,1065
2166,825
2169,1440
2170,870
2171,1195
2173,1530
2175,975
2178,1920
2180,1183
2182,1550
2183,1110
2185,1105
2191,3067
2192,1929
2193,1525
2194,1775
2195,1125
2199,1268
2200,1500
2201,630
2202,1525
2203,1060
2204,1687
2205,1847
2206,1410
2207,1075
2211,1010
2212,1875
2214,983
2216,1140
2217,1215
2219,2039
2226,1350
2228,1128.76
2229,921
2230,1010
2231,1015
2233,1179
2235,870
2238,2475
2241,1000
2244,1200
2246,1255
2247,1085
2250,1934
2251,1200
2252,3600
2253,935
2254,877
2255,936
2258,1232
2259,2225
2261,1901
2262,1819
2265,3715
2266,5000
2273,1845
2275,1140
2277,2254
2278,1750
2279,1020
2281,1893
2282,3025
2285,1075
2287,1200
2288,1233
2289,1255
2296,1525
2298,1240
2299,1245
2301,1104
2302,1075
2304,1155
2305,1520
2306,3122
2307,1290
2313,900
2315,987
2316,1720
2317,1040
2319,1030
2320,2556
2321,1850
2324,1270
2327,1050
2329,946
2330,1726
2331,2121
2332,1404
2334,1025
2341,4800
2342,1040
2343,1310
2344,1788
2345,1144
2351,1646
2352,4395
2354,1995
2356,1085
2357,1139
2359,1767
2361,1692
2363,1345
2364,1100
2365,1408
2369,2072
2370,1420
2377,1063
2383,1430
2386,1760
2387,2010
2388,1480
2392,4850
2393,1100
2394,1752.12
2396,[]
2397,1942
2398,1000
2399,668
2403,1800
2405,1036
2406,1583
2408,1100
2410,1246
2411,850
2412,1196
2413,1697
2417,3750
2419,1022
2420,1018
2422,1322
2423,1800
2426,2400
2427,1635
2428,3526
2430,2770
2431,3035
2432,1533
2433,1720
2435,1185
2437,395
2438,1031
2440,2650
2442,1330
2443,1259
2444,1570
2445,1075
2446,1216
2447,1428
2450,1475
2453,1804
2456,1260
2458,2160
2462,1300
2463,605
2465,1444
2470,845
2471,700
2473,1625
2475,1452.55
2478,1139
2480,1660
2481,1170
2482,1448
2483,1762
2484,1105
2485,1825
2486,296
2488,1185
2489,1320
2490,1058
2493,1200
2497,1550
2501,2503
2502,2524
2507,1045
2508,1290
2509,1400
2513,1680
2522,1634
2523,1352
2524,1145
2526,2200
2529,1168
2530,1205
2531,1195
2534,1550
2537,1603
2541,1405
2542,1142
2544,1870
2545,1313
2546,1945
2547,1573
2548,1255
2551,1380
2558,1279
2561,2526
2564,1845
2565,1360
2567,1260
2569,965
2570,1350
2571,1447
2574,1153
2575,2856
2576,1065
2577,1030
2581,1410
2582,1055
2583,1304
2585,990
2587,[]
2589,1300
2590,1239
2591,1403
2592,1365
2593,1165
2595,1776.42
2598,1107
2600,1520
2601,1536
2603,1050
2604,1850
2605,1112
2609,1250
2610,1187
2612,1395
2613,2072
2614,1450
2615,1550
2617,3067
2618,1210
2619,1075
2620,11338
2622,1470
2624,1590
2625,1050
2626,1306
2627,2000
2630,3190
2631,1215
2632,1920
2636,1196
2637,1550
2638,1418
2640,1115
2641,1170
2642,1035
2644,750
2645,1917
2646,1615
2648,1325
2651,1246
2652,1215
2653,1200
2655,1200
2658,1175
2659,920
2660,3024
2664,955
2665,1750
2666,1425
2667,2150
2669,1050
2670,1370
2671,1374
2672,1754
2673,1847
2674,1850
2675,3297
2676,1187
2680,3000
2681,693
2682,1980
2683,1021
2684,1165
2685,1756
2686,1739
2689,950
2692,1080
2693,1100
2694,3200
2695,1311
2696,1608
2698,1170
2700,1255
2702,674
2706,2257
2708,1530
2710,1575
2711,3500
2712,1263
2713,1559
2714,1043
2715,1255
2716,1352
2717,590
2718,1550
2720,1900
2723,1455
2724,1035
2726,1299
2727,1157
2728,1050
2736,1025
2737,1124
2738,1012
2739,4500
2740,871
2741,1020
2742,1550
2744,1410
2745,3500
2746,1118
2747,1098
2749,1145
2751,1051
2754,1478
2755,645
2756,823
2759,1991
2761,1745
2766,1450
2769,1843
2772,1132
2773,1375
2775,760
2777,918
2780,1372
2782,1728
2783,2215
2784,1200
2787,1455
2788,440
2789,1500
2793,1225
2796,880
2800,1005
2801,1562
2802,5000
2807,1190
2808,1070
2810,1020
2813,1300
2814,1420
2816,1069
2817,1900
2818,1655
2819,1155
2820,1300
2821,1100
2822,1030
2823,2105
2824,1700
2825,1760
2829,912
2831,1535
2832,1243
2833,918
2834,1500
2836,1476
2838,606
2841,527
2842,1300
2845,1140
2847,2321
2849,1725
2850,3067
2851,1186
2852,1230
2858,660
2859,1036
2861,1100
2865,1015
2868,2167
2870,1165
2871,1274
2872,1151
2874,1626
2880,1570
2881,[]
2882,780
2888,904
2889,1121
2890,1385
2891,1270
2892,1450
2895,1580
2896,1111
2898,977
2901,2540
2902,1290
2904,795
2905,700
2906,1463
2910,1670
2911,1875
2912,1200
2914,2065
2915,1225
2916,1185
2917,900
2918,1350
2919,700
2920,1005
2923,1043
2925,1040
2926,1357
2933,1549
2934,1400
2935,1080
2936,1180
2938,1800
2939,1225
2941,1005
2942,1320
2945,1110
2948,1128
2949,1452.19
2951,2600
2952,2500
2955,960
2957,735
2959,2849
2960,1420
2962,850
2963,1575
2964,1418
2966,1065
2969,1160
2970,1092
2971,1194
2972,1455
2973,734
2974,799
2976,1100
2979,1128
2981,3875
2983,1098
2985,1460
2988,1091
2989,1180
2990,1366
2991,1685
2992,1260
2993,3010
2996,1346
2997,630
2999,1850
3001,755
3003,1194
3005,4235
3007,2250
3008,1352
3009,2002
3010,4000
3011,1060
3012,1419.59
3013,1196
3015,1595
3016,1260
3018,1550
3020,4000
3021,1662
3024,1862
3025,1419
3027,1560
3029,1634
3030,5530
3034,1392
3035,1798
3036,1675
3040,1700
3041,1248
3042,1147
3043,1100
3044,1527
3046,525
3047,1100
3050,2100
3052,1332
3055,1243
3058,1200
3059,1251
3060,883
3061,1400
3062,1800
3063,1703
3066,933
3068,1262
3069,915
3070,1370
3071,1210
3072,2392
3078,1445
3079,1300
3081,1300
3082,1185
3091,1385
3093,1149
3094,2180
3097,1200
3098,1818
3100,1640
3101,1350
3103,1430
3106,1084
3107,1186
3108,1255
3109,3400
3110,1541
3111,3596
3112,1295
3115,1370
3116,1100
3117,4772
3118,1370
3120,1200
3127,1178
3128,1286
3129,1160
3130,918
3131,1563
3134,3960
3136,1325
3137,1100
3138,3875
3139,1605
3141,1260
3142,1553
3143,1280
3144,1550
3146,1550
3147,1515
3148,1332
3149,1652
3150,1570
3151,5400
3152,794
3154,3600
3158,2800
3159,1750
3161,1100
3162,1665
3163,4051
3165,1447
3166,1012
3167,1900
3168,1308
3173,1140
3174,3181
3176,1290
3177,1424
3179,1662
3180,8321
3181,1200
3184,1777
3186,1576
3189,648
3190,1167
3193,2350
3197,1991
3205,2721
3206,2000
3207,2500
3208,1325
3209,1314
3214,2220
3215,1192
3216,1420
3217,1888
3218,1300
3219,1216
3222,1290
3227,1900
3229,1300
3230,1115
3231,2409
3232,2150
3233,1305
3234,1252
3238,545
3240,1313
3243,1160
3245,1255
3247,900
3248,1700
3249,1875
3250,1700
3251,1749
3255,1200
3256,1610
3257,1070
3260,1210
3262,4190
3263,1364
3264,2268
3267,1345
3268,1110
3269,750
3270,1156
3271,1247
3273,950
3276,1520
3279,2350
3281,1672
3285,[]
3287,920
3288,1200
3289,1250
3292,1140
3294,1464
3295,1468
3296,1555
3298,1150
3301,1166
3302,2779
3303,1350
3306,1190
3307,1495
3308,1224
3309,1350
3310,940
3311,1100
3312,1300
3315,2600
3316,1517
3321,1365
3322,1000
3323,1392
3325,1586
3327,1065
3329,1575
3332,1745
3333,1223
3335,1200
3336,665
3337,1351
3338,1355
3344,1370
3348,1247
3350,1020.07
3352,1460
3356,2912
3358,1665
3359,1295
3360,1230
3362,1000
3364,[]
3366,1697
3367,3537
3368,615
3369,1350
3371,1083
3372,1460
3374,1035
3376,460
3378,1285
3380,1200
3381,1070
3382,1801
3383,1697
3384,1199
3385,2300
3387,3800
3389,1125
3391,1050
3392,956
3393,1000
3394,1596
3396,1296
3398,1639
3399,1219
3403,2559
3405,1427
3407,920
3411,1530
3413,2363
3414,3895
3415,1950
3416,885
3420,1339
3421,1130
3423,1430
3424,1451
3429,925
3430,3016
3432,1215
3434,1336
3435,673
3444,1470
3446,1785
3453,650
3455,1220
3456,1570
3458,1665
3460,4000
3462,1350
3463,1719
3464,664
3465,1011
3468,[]
3470,1520
3471,1350
3473,875
3474,1231
3475,1174
3476,1560
3480,1750
3484,2408
3485,1080
3488,1500
3492,1030
3493,1440
3494,1500
3496,1200
3498,2240
3499,1584.01
3500,1340
3501,1800
3503,685
3504,925
3505,1230
3507,1125
3509,2400
3510,1400
3512,1858
3514,3530
3519,1335
3522,1397
3525,1200
3529,1140
3530,525
3533,1205.47
3535,1700
3537,1090
3540,923
3541,3595
3542,1050
